iteration,clock,slack_before,transform,module,backend,accepted,wns_before,wns_after,tns_before,tns_after,hold_before,hold_after,area_before,area_after,reason,seconds
1,clk_core,-2.030334,balanced_mux_tree,rv_alu,heuristic,True,-2.0303341804705326,-1.57837791748578,-100.84134346315652,-83.62461537710003,0.005463480517084168,0.005463480517084168,36088.486,35875.154,"WNS +0.4520 ns, TNS +17.2167 ns, hold +0.0055 ns, area -0.59%",15.2
2,clk_dsp,-1.578378,pipeline_insert,dsp_mac,heuristic,True,-1.57837791748578,-1.0871770458274543,-83.62461537710003,-47.01867472895847,0.005463480517084168,0.005463480517084168,35875.154,36272.824,"WNS +0.4912 ns, TNS +36.6059 ns, hold +0.0055 ns, area +1.11%",27.6
3,clk_io,-1.087177,logic_restructure,crc32_par,heuristic,True,-1.0871770458274543,-0.848975136443638,-47.01867472895847,-25.75346764293761,0.005463480517084168,0.005463480517084168,36272.824,36146.208,"WNS +0.2382 ns, TNS +21.2652 ns, hold +0.0055 ns, area -0.35%",36.5
4,clk_dsp,-0.848975,register_retime,dsp_mac,heuristic,False,-0.848975136443638,-0.868828589220689,-25.75346764293761,-24.922223212787905,0.005463480517084168,0.005463480517084168,36146.208,35888.986,"no timing improvement (WNS -0.0199 ns, target-domain WNS -0.0199 ns, threshold 0.0050 ns)",14.9
5,clk_dsp,-0.234927,balanced_mux_tree,dsp_mux_chain,heuristic,True,-0.848975136443638,-0.848975136443638,-25.75346764293761,-18.707100398248112,0.005463480517084168,0.005463480517084168,36146.208,36131.312,"WNS unchanged, accepted on TNS improvement of +7.0464 ns; WNS +0.0000 ns, TNS +7.0464 ns, hold +0.0055 ns, area -0.04%",14.7
6,,,,,,False,,,,,,,,,"every violating path is protected, exhausted, or matches no catalogued transformation",0.6
7,,,,,,False,,,,,,,,,"every violating path is protected, exhausted, or matches no catalogued transformation",0.6
